StopID	Name	StopAreaNumber	WGS84 Lat	WGS 84 Long	Zone	Type	Added	Changed	SiteID	Name		
75054	Östertälje station	75054	59.1847258180854	17.6603896632869	C	BUSTERM	2013-03-05 00:00:00.000	2013-03-05 00:00:00.000	1009522	Östertälje station		
70662	Värmlandsvägen	13269	59.2437599183515	18.0809743998034	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1937	Värmlandsvägen		
70663	Värmlandsbacken	70663	59.2472018316165	18.0782585549145	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1936	Värmlandsbacken		
70660	Farsta strand	13264	59.2363016577918	18.1017417108216	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9180	Farsta strand		
70661	Värmlandsvägen	13269	59.2436978332707	18.0814435525437	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1937	Värmlandsvägen		
70666	Sunnemobacken	70665	59.2478060051736	18.0842769624960	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1935	Sunnemobacken		
70667	Pepparvägen	13961	59.2478923206575	18.0890863351567	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1934	Pepparvägen		
70664	Värmlandsbacken	70663	59.2469007379102	18.0775022173218	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1936	Värmlandsbacken		
70665	Sunnemobacken	70665	59.2477127052855	18.0849895200939	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1935	Sunnemobacken		
51823	Görvälns griftegård	51823	59.4263782236303	17.7972256505192	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5845	Görvälns griftegård		
80157	Dalgårdsvägen	80157	59.2838561555762	18.0998835169037	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1573	Dalgårdsvägen		
41672	Lillsved	41672	59.4116173194519	18.4944277971189	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4570	Lillsved		
80098	Sågen	80097	59.1990175427224	18.1904078695466	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	8220	Sågen		
80099	Skomakarvägen	80099	59.1933693607174	18.1889114149022	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	8225	Skomakarvägen		
66307	Lindö	66307	59.5541118195798	18.0329917696917	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	2503	Lindö		
66305	Västlunda	66305	59.5491572761464	18.0460187453084	B	BUSTERM	2014-01-30 00:00:00.000	2014-01-30 00:00:00.000	2502	Västlunda		
13058	Nippervägen	13057	59.2851166202139	17.9928284069859	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1786	Nippervägen		
13059	Hökmossens gård	13059	59.2889242794421	17.9932257357448	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1787	Hökmossens gård		
70488	Björnkulla	70488	59.210092384227	17.9407247632887	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7013	Björnkulla		
70489	Ekshäradsgatan	70489	59.2345437943875	18.0944327434880	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1923	Ekshäradsgatan		
