StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;;;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;One
3442;3441;3442;Duvbo;59.3681560976679;17.9627867800209;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421673;Duvbo T-bana;59.367892251205;17.964617467634;1
3452;3451;3452;Rissne;59.3759780554351;17.9398093799617;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421674;Rissne T-bana;59.375840820683;17.939959337674;1
3464;3461;3464;Rinkeby;59.3882307692602;17.9279580991041;A1;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421679;Rinkeby T-bana;59.388163409678;17.928781437119;1
3472;3471;3472;Tensta;59.3943159900127;17.9025808499084;A1;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7412885;Tensta T-bana;59.394482308056;17.901165240329;1
3482;3481;3482;Hjulsta;59.396728721699;17.8887321622398;A1;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421678;Hjulsta T-bana;59.396170233682;17.887712113031;1
4202;4201;4202;Alvik;59.3335973571802;17.9804025430214;A1;TRAMSTN;2010-04-27 10:29:43.230;2010-04-28 00:00:00.000;7420755;Alvik T-bana;59.333635487854;17.980264589475;1
4301;4301;4301;Sergels torg;59.3326597317466;18.066124949667;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7435997;Stockholm Sergels Torg Spårv;59.332659638768;18.066125153342;1
4303;4303;4303;Kungsträdgården;59.3327890504309;18.0710897108865;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7437355;Stockholm Kungsträdgården;59.332785906101;18.07126546227;1
4305;4305;4305;Nybroplan;59.3326161695175;18.076895530545;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7419408;Stockholm Nybroplan;59.332729828004;18.076551825215;1
4307;4307;4307;Styrmansgatan;59.3314963728277;18.0854850060733;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7446065;Stockholm Styrmansgatan;59.331583078301;18.084629872421;1
4309;4309;4309;Djurgårdsbron;59.3317862610786;18.0925167227936;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7446036;Stockholm Djurgårdsbron;59.331823040543;18.093486013901;1
4311;4311;4311;Nordiska museet/Vasamuseet;59.3290353434821;18.0957586524112;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7446031;Stockholm Nordiska museet/Vasa;59.329291019217;18.095512466591;1
4313;4313;4313;Liljevalchs/Gröna Lund;59.3250121939386;18.0972977920602;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7418282;Stockholm Liljevalc Gröna Lund;59.325248390724;18.097138191437;1
4315;4315;4315;Skansen;59.3237497730349;18.1016757269617;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7418281;Stockholm Skansen;59.324006077977;18.101394523435;1
4317;4317;4317;Djurgårdsskolan;59.323238498643;18.1046984793968;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7446066;Stockholm Djurgårdsskolan;59.323252009362;18.104945586883;1
4318;4318;4318;Bellmansro;59.3240062172457;18.1105486853898;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7446067;Stockholm Bellmansro;59.324006434596;18.110531339309;1
4319;4319;4319;Waldemarsudde;59.3226443696371;18.1113876857533;A;TRAMSTN;2010-07-26 10:27:44.810;2010-07-27 00:00:00.000;7418280;Stockholm Waldemarsudde;59.322644587093;18.111370340378;1
4320;4320;4320;Skansenslingan;59.3240142128287;18.1014475743467;A;TRAMSTN;2010-08-17 14:47:18.740;2010-08-23 00:00:00.000;7418281;Stockholm Skansen;59.324006077977;18.101394523435;1
4412;4411;4412;Alléparken;59.328773095495;17.9740669094009;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424814;Äppelviken Alléparken Spårv;59.32911219747;17.973649408441;1
4422;4421;4422;Klövervägen;59.3248424306353;17.9739219322018;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424815;Äppelviken Klövervägen;59.325004968047;17.973862213055;1
4432;4431;4432;Smedslätten;59.3209278923626;17.9641505542521;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424816;Smedslätten Spårv;59.320897400544;17.964359650451;1
4442;4441;4442;Ålstensgatan;59.3233858071033;17.9561541082662;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424817;Ålsten Ålstensgatan Spårv;59.32344329237;17.956474202045;1
4452;4451;4452;Ålstens gård;59.3205277640143;17.951950484532;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7401167;Ålsten Ålstens gård Spårv;59.320606380149;17.95207862678;1
4462;4461;4462;Höglandstorget;59.3234318836432;17.9396943454713;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424818;Höglandstorget Spårv;59.323318685883;17.940021278214;1
4472;4471;4472;Olovslund;59.3279242423475;17.9351437575151;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424819;Olovslund Spårv;59.327904774822;17.935230607792;1
4482;4481;4482;Nockeby torg;59.3290468876341;17.92797418444;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424820;Nockeby torg Spårv;59.32898754116;17.928304567037;1
4492;4491;4492;Nockeby;59.3287565070352;17.9187658315764;A1;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7401181;Nockeby Spårv;59.328640652317;17.918706131627;1
4502;4501;4502;Gullmarsplan;59.2995651990996;18.0802578328583;A2;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421705;Gullmarsplan T-bana;59.299116105095;18.080772352376;1
4504;4503;4504;Globen;59.2942145094467;18.0770918553744;A2;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421706;Globen T-bana;59.294279848735;18.077974182502;1
4506;4505;4506;Linde;59.2932312390109;18.063403899937;A2;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424918;Årsta Linde Spårv;59.293263072734;18.06363442882;1
4508;4507;4508;Valla torg;59.2949187775355;18.0488920075757;A2;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424684;Årsta Valla Torg Spårv;59.29501653528;18.048424654637;1
4510;4509;4510;Årstafältet;59.2963428968146;18.0402252504186;A2;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424919;Årsta Årstafältet Spårv;59.296342557848;18.039716310966;1
4512;4511;4512;Årstaberg;59.2990234698427;18.0299894757855;A2;TRAMSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7424920;Årstaberg station;59.299234759068;18.030231726386;1
