name;lat;lon;sa;id;gtfsid;gtfsname;gtfslat;gtfslon
Kallskärsgatan;59343817;18092373;200110923;1132;7446217;Kallskärsgatan;59.343081628563;18.092080868816
Erik Dahlbergsgatan;59341722;18091114;200110921;1133;7446216;Erik Dahlbergsgatan/Valhallavä;59.341725016578;18.09109310601
Tegeluddsvägen;59350001;18096993;200110064;1134;7445978;Tegeluddsvägen;59.350131809487;18.097654338032
Erik Dahlbergsgatan;59348896;18093739;200110847;1135;7446204;Erik Dahlbergsgatan (på Liding;59.348656882131;18.092666729391
Starrbäcksängen;59347044;18086530;200110919;1136;7446215;Starrbäcksängen;59.347169662379;18.087344668877
Tennisstadion;59348401;18081343;200110716;1137;7446174;Tennisstadion;59.34850774475;18.08117479959
Östermalms idrottsplats;59346469;18082817;200110714;1138;7446172;Östermalms idrottsplats;59.34686005435;18.082453559352
Jägmästargatan;59351026;18103429;200110068;1139;7445979;Jägmästargatan;59.351086937541;18.103082061799
Rökubbsgatan;59344257;18110198;200110058;1140;7445975;Rökubbsgatan;59.344849021253;18.109517460173
Sandhamnsplan;59346702;18107546;200110060;1141;7445976;Sandhamnsplan;59.346789591826;18.107433525326
Kampementsbacken;59345174;18101596;200110155;1142;7446012;Kampementsbacken;59.345712163646;18.101822282984
Storskärsgatan;59342046;18097497;200110153;1143;7446011;Storskärsgatan;59.342106118778;18.097517847139
Rigagatan;59338648;18098548;200110063;1144;7445977;Rigagatan;59.338648627855;18.098550542268
Rökubbsgatan;59344257;18110198;200110058;1145;7445975;Rökubbsgatan;59.344849021253;18.109517460173
Filmhuset;59339385;18105982;200110048;1146;7445970;Filmhuset;59.339264425802;18.104885192757
Humlegården (på Humlegårdsgatan);59337381;18072084;200111501;1147;7446252;Humlegården;59.337413567086;18.071608791007
Rökubbsgatan;59344257;18110198;200110058;1148;7445975;Rökubbsgatan;59.344849021253;18.109517460173
Rökubbsgatan;59344257;18110198;200110058;1149;7445975;Rökubbsgatan;59.344849021253;18.109517460173
Andra tvärvägen;59356033;18106162;200110863;1150;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Andra tvärvägen;59356033;18106162;200110863;1151;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Tredje tvärvägen;59354235;18107780;200110233;1152;7446042;Tredje tvärvägen;59.354043560595;18.108047740232
Andra tvärvägen;59356033;18106162;200110863;1153;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Färjeterminalen;59349246;18106315;200110855;1154;7401386;Stockholm Värtahamnen;59.34916618241;18.106592124212
Andra tvärvägen;59356033;18106162;200110863;1155;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Andra tvärvägen;59356033;18106162;200110863;1156;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Andra tvärvägen;59356033;18106162;200110863;1157;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Andra tvärvägen;59356033;18106162;200110863;1158;7446208;Andra tvärvägen;59.356107199752;18.106112197715
Hangövägen;59348536;18109947;200110069;1159;7446206;Hangövägen;59.348553533286;18.111280619868
Motalavägen;59353193;18096328;200110697;1160;7446167;Motalavägen;59.353190299307;18.096330557873
Hjorthagens skola;59354325;18098638;200110692;1161;7446164;Hjorthagens skola;59.354236995765;18.098599374017
Skogvaktargatan;59354973;18100796;200110694;1162;7446165;Skogvaktargatan;59.354980859622;18.100724779784
Nimrodsgatan;59356123;18098818;200110691;1163;7446163;Nimrodsgatan;59.356247977023;18.09862949032
